route_id,service_id,trip_id,trip_headsign,shape_id
VA-DL,100,2966184,Dr. Lluch,4
TO-SE,100,2966183,Beteró,8
VA-DL,100,2966182,Dr. Lluch,4
MR-DL,100,2966181,Dr. Lluch,4
TO-SE,100,2966180,Beteró,8
LL-DL,100,2966179,Dr. Lluch,5
TO-MS,100,2966178,Marítim,8
MR-DL,100,2966177,Dr. Lluch,4
VA-DL,100,2966176,Dr. Lluch,4
VA-DL,100,2966175,Dr. Lluch,4
TO-MS,100,2966174,Marítim,8
LL-EM,100,2966173,Empalme,5
MR-DL,100,2966172,Dr. Lluch,4
VA-DL,100,2966171,Dr. Lluch,4
TO-MS,100,2966170,Marítim,8
VA-DL,100,2966169,Dr. Lluch,4
LL-EM,100,2966168,Empalme,5
MR-DL,100,2966167,Dr. Lluch,4
TO-MS,100,2966166,Marítim,8
VA-DL,100,2966165,Dr. Lluch,4
NP-MS,100,2966164,Marítim,59
VA-DL,100,2966163,Dr. Lluch,4
TO-MS,100,2966162,Marítim,8
LL-EM,100,2966161,Empalme,5
MR-DL,100,2966160,Dr. Lluch,4
NP-MS,100,2966159,Marítim,59
VA-DL,100,2966158,Dr. Lluch,4
TO-MS,100,2966157,Marítim,8
VA-DL,100,2966156,Dr. Lluch,4
LL-EM,100,2966155,Empalme,5
NP-MS,100,2966154,Marítim,59
MR-DL,100,2966153,Dr. Lluch,4
TO-MS,100,2966152,Marítim,8
VA-DL,100,2966151,Dr. Lluch,4
NP-MS,100,2966150,Marítim,59
VA-DL,100,2966149,Dr. Lluch,4
TO-MS,100,2966148,Marítim,8
LL-EM,100,2966147,Empalme,5
MR-DL,100,2966146,Dr. Lluch,4
NP-MS,100,2966145,Marítim,59
VA-DL,100,2966144,Dr. Lluch,4
TO-MS,100,2966143,Marítim,8
VA-DL,100,2966142,Dr. Lluch,4
LL-EM,100,2966141,Empalme,5
NP-MS,100,2966140,Marítim,59
MR-DL,100,2966139,Dr. Lluch,4
TO-MS,100,2966138,Marítim,8
VA-DL,100,2966137,Dr. Lluch,4
NP-MS,100,2966136,Marítim,59
VA-DL,100,2966135,Dr. Lluch,4
TO-MS,100,2966134,Marítim,8
LL-EM,100,2966133,Empalme,5
MR-DL,100,2966132,Dr. Lluch,4
NP-MS,100,2966131,Marítim,59
VA-DL,100,2966130,Dr. Lluch,4
TO-MS,100,2966129,Marítim,8
VA-DL,100,2966128,Dr. Lluch,4
LL-EM,100,2966127,Empalme,5
NP-MS,100,2966126,Marítim,59
MR-DL,100,2966125,Dr. Lluch,4
TO-MS,100,2966124,Marítim,8
VA-DL,100,2966123,Dr. Lluch,4
NP-MS,100,2966122,Marítim,59
VA-DL,100,2966121,Dr. Lluch,4
TO-MS,100,2966120,Marítim,8
LL-EM,100,2966119,Empalme,5
MR-DL,100,2966118,Dr. Lluch,4
NP-MS,100,2966117,Marítim,59
VA-DL,100,2966116,Dr. Lluch,4
TO-MS,100,2966115,Marítim,8
VA-DL,100,2966114,Dr. Lluch,4
LL-EM,100,2966113,Empalme,5
NP-MS,100,2966112,Marítim,59
MR-DL,100,2966111,Dr. Lluch,4
TO-MS,100,2966110,Marítim,8
VA-DL,100,2966109,Dr. Lluch,4
NP-MS,100,2966108,Marítim,59
VA-DL,100,2966107,Dr. Lluch,4
TO-MS,100,2966106,Marítim,8
LL-EM,100,2966105,Empalme,5
MR-DL,100,2966104,Dr. Lluch,4
VA-DL,100,2966103,Dr. Lluch,4
TO-MS,100,2966102,Marítim,8
VA-DL,100,2966101,Dr. Lluch,4
LL-EM,100,2966100,Empalme,5
NP-MS,100,2966099,Marítim,59
MR-DL,100,2966098,Dr. Lluch,4
TO-MS,100,2966097,Marítim,8
VA-DL,100,2966096,Dr. Lluch,4
VA-DL,100,2966095,Dr. Lluch,4
TO-MS,100,2966094,Marítim,8
LL-EM,100,2966093,Empalme,5
NP-MS,100,2966092,Marítim,59
MR-DL,100,2966091,Dr. Lluch,4
NP-MS,100,2966090,Marítim,59
NP-MS,100,2966089,Marítim,59
VA-DL,100,2966088,Dr. Lluch,4
TO-MS,100,2966087,Marítim,8
VA-DL,100,2966086,Dr. Lluch,4
NP-MS,100,2966085,Marítim,59
LL-EM,100,2966084,Empalme,5
NP-MS,100,2966083,Marítim,59
MR-DL,100,2966082,Dr. Lluch,4
TO-MS,100,2966081,Marítim,8
VA-DL,100,2966080,Dr. Lluch,4
NP-MS,100,2966079,Marítim,59
VA-DL,100,2966078,Dr. Lluch,4
TO-MS,100,2966077,Marítim,8
LL-EM,100,2966076,Empalme,5
MR-DL,100,2966075,Dr. Lluch,4
VA-DL,100,2966074,Dr. Lluch,4
TO-MS,100,2966073,Marítim,8
VA-DL,100,2966072,Dr. Lluch,4
LL-EM,100,2966071,Empalme,5
NP-MS,100,2966070,Marítim,59
MR-DL,100,2966069,Dr. Lluch,4
TO-MS,100,2966068,Marítim,8
VA-DL,100,2966067,Dr. Lluch,4
NP-MS,100,2966066,Marítim,59
VA-DL,100,2966065,Dr. Lluch,4
TO-MS,100,2966064,Marítim,8
LL-EM,100,2966063,Empalme,5
MR-DL,100,2966062,Dr. Lluch,4
NP-MS,100,2966061,Marítim,59
VA-DL,100,2966060,Dr. Lluch,4
TO-MS,100,2966059,Marítim,8
VA-DL,100,2966058,Dr. Lluch,4
MR-DL,100,2966057,Dr. Lluch,4
NP-MS,100,2966056,Marítim,59
TO-MS,100,2966055,Marítim,8
LL-EM,100,2966054,Empalme,5
VA-DL,100,2966053,Dr. Lluch,4
NP-MS,100,2966052,Marítim,59
VA-DL,100,2966051,Dr. Lluch,4
TO-MS,100,2966050,Marítim,8
LL-EM,100,2966049,Empalme,5
